"Number in population by employment status, grounds for settlement, number of years in Sweden, region of birth, sex, age and year"

"employment status","grounds for settlement","number of years in Sweden","region of birth","sex","age","2020","2021","2022","2023"
"total","relatives - not refugees","total","Europe, excl. Sweden","total","50-59 years",24686,25046,25242,25223
"total","relatives - not refugees","total","Europe, excl. Sweden","total","60-64 years",8367,8892,9487,10176
"total","relatives - not refugees","total","Europe, excl. Sweden","total","65-69 years",5506,5973,6492,6897
"total","relatives - not refugees","total","Europe, excl. Sweden","total","70-74 years",3014,3350,3656,4118
"total","relatives - not refugees","total","Africa","total","total",38707,40596,42430,43814
"total","relatives - not refugees","total","Africa","total","20-24 years",3065,3172,3322,3378
"total","relatives - not refugees","total","Africa","total","25-29 years",3802,3968,4006,4188
"total","relatives - not refugees","total","Africa","total","30-39 years",14359,14579,14551,14248
"total","relatives - not refugees","total","Africa","total","40-49 years",9165,10000,11069,11896
"total","relatives - not refugees","total","Africa","total","50-59 years",5857,6047,6246,6416
"total","relatives - not refugees","total","Africa","total","60-64 years",1498,1696,1914,2169
"total","relatives - not refugees","total","Africa","total","65-69 years",670,796,931,1062
"total","relatives - not refugees","total","Africa","total","70-74 years",288,331,395,459
"total","relatives - not refugees","total","Asia","total","total",124168,131898,140516,147599
"total","relatives - not refugees","total","Asia","total","20-24 years",10843,11318,11757,12134
"total","relatives - not refugees","total","Asia","total","25-29 years",15789,16151,16606,17032
"total","relatives - not refugees","total","Asia","total","30-39 years",46568,48953,51580,52869
"total","relatives - not refugees","total","Asia","total","40-49 years",26405,28810,31778,34740
"total","relatives - not refugees","total","Asia","total","50-59 years",17106,18247,19204,19991
"total","relatives - not refugees","total","Asia","total","60-64 years",4289,4735,5304,6031
"total","relatives - not refugees","total","Asia","total","65-69 years",2196,2570,2980,3289
"total","relatives - not refugees","total","Asia","total","70-74 years",971,1114,1313,1516
"total","relatives - not refugees","total","rest of the world, incl. Soviet Union","total","total",36891,38360,39882,40746
"total","relatives - not refugees","total","rest of the world, incl. Soviet Union","total","20-24 years",1853,1830,1810,1703
"total","relatives - not refugees","total","rest of the world, incl. Soviet Union","total","25-29 years",3416,3260,3050,2894
"total","relatives - not refugees","total","rest of the world, incl. Soviet Union","total","30-39 years",12233,12719,13192,13190
"total","relatives - not refugees","total","rest of the world, incl. Soviet Union","total","40-49 years",7809,8342,9018,9564
"total","relatives - not refugees","total","rest of the world, incl. Soviet Union","total","50-59 years",6787,6961,7045,7109
"total","relatives - not refugees","total","rest of the world, incl. Soviet Union","total","60-64 years",2509,2679,2840,3033
"total","relatives - not refugees","total","rest of the world, incl. Soviet Union","total","65-69 years",1496,1671,1918,2139
"total","relatives - not refugees","total","rest of the world, incl. Soviet Union","total","70-74 years",789,900,1009,1110
"total","relatives - not refugees","total","unknown","total","total",160,171,158,154
"total","relatives - not refugees","total","unknown","total","20-24 years",17,19,18,11
"total","relatives - not refugees","total","unknown","total","25-29 years",21,28,25,23
"total","relatives - not refugees","total","unknown","total","30-39 years",61,70,60,60
"total","relatives - not refugees","total","unknown","total","40-49 years",26,29,29,35
"total","relatives - not refugees","total","unknown","total","50-59 years",20,17,18,13
"total","relatives - not refugees","total","unknown","total","60-64 years",5,6,3,8
"total","relatives - not refugees","total","unknown","total","65-69 years",3,3,0,0
"total","relatives - not refugees","total","unknown","total","70-74 years",3,0,3,3
"total","relatives - not refugees","born in Sweden","total","total","total",38352,41437,44024,46525
"total","relatives - not refugees","born in Sweden","total","total","20-24 years",17383,16514,15610,15041
"total","relatives - not refugees","born in Sweden","total","total","25-29 years",10575,13099,15001,16371
"total","relatives - not refugees","born in Sweden","total","total","30-39 years",7356,8523,9842,11237
"total","relatives - not refugees","born in Sweden","total","total","40-49 years",2207,2335,2446,2576
"total","relatives - not refugees","born in Sweden","total","total","50-59 years",591,729,877,1036
"total","relatives - not refugees","born in Sweden","total","total","60-64 years",113,115,118,126
"total","relatives - not refugees","born in Sweden","total","total","65-69 years",65,69,79,94
"total","relatives - not refugees","born in Sweden","total","total","70-74 years",57,53,44,51
"total","relatives - not refugees","born in Sweden","Sweden","total","total",38352,41437,44024,46525
"total","relatives - not refugees","born in Sweden","Sweden","total","20-24 years",17383,16514,15610,15041
"total","relatives - not refugees","born in Sweden","Sweden","total","25-29 years",10575,13099,15001,16371
"total","relatives - not refugees","born in Sweden","Sweden","total","30-39 years",7356,8523,9842,11237
"total","relatives - not refugees","born in Sweden","Sweden","total","40-49 years",2207,2335,2446,2576
"total","relatives - not refugees","born in Sweden","Sweden","total","50-59 years",591,729,877,1036
"total","relatives - not refugees","born in Sweden","Sweden","total","60-64 years",113,115,118,126
"total","relatives - not refugees","born in Sweden","Sweden","total","65-69 years",65,69,79,94
"total","relatives - not refugees","born in Sweden","Sweden","total","70-74 years",57,53,44,51
"total","relatives - not refugees","born in Sweden","Europe, excl. Sweden","total","total",0,0,0,0
"total","relatives - not refugees","born in Sweden","Europe, excl. Sweden","total","20-24 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Europe, excl. Sweden","total","25-29 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Europe, excl. Sweden","total","30-39 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Europe, excl. Sweden","total","40-49 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Europe, excl. Sweden","total","50-59 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Europe, excl. Sweden","total","60-64 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Europe, excl. Sweden","total","65-69 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Europe, excl. Sweden","total","70-74 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Africa","total","total",0,0,0,0
"total","relatives - not refugees","born in Sweden","Africa","total","20-24 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Africa","total","25-29 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Africa","total","30-39 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Africa","total","40-49 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Africa","total","50-59 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Africa","total","60-64 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Africa","total","65-69 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Africa","total","70-74 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Asia","total","total",0,0,0,0
"total","relatives - not refugees","born in Sweden","Asia","total","20-24 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Asia","total","25-29 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Asia","total","30-39 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Asia","total","40-49 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Asia","total","50-59 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Asia","total","60-64 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Asia","total","65-69 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","Asia","total","70-74 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","rest of the world, incl. Soviet Union","total","total",0,0,0,0
"total","relatives - not refugees","born in Sweden","rest of the world, incl. Soviet Union","total","20-24 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","rest of the world, incl. Soviet Union","total","25-29 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","rest of the world, incl. Soviet Union","total","30-39 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","rest of the world, incl. Soviet Union","total","40-49 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","rest of the world, incl. Soviet Union","total","50-59 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","rest of the world, incl. Soviet Union","total","60-64 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","rest of the world, incl. Soviet Union","total","65-69 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","rest of the world, incl. Soviet Union","total","70-74 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","unknown","total","total",0,0,0,0
"total","relatives - not refugees","born in Sweden","unknown","total","20-24 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","unknown","total","25-29 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","unknown","total","30-39 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","unknown","total","40-49 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","unknown","total","50-59 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","unknown","total","60-64 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","unknown","total","65-69 years",0,0,0,0
"total","relatives - not refugees","born in Sweden","unknown","total","70-74 years",0,0,0,0
"total","relatives - not refugees","0-3 years","total","total","total",56858,55896,55123,53106
"total","relatives - not refugees","0-3 years","total","total","20-24 years",5290,5109,4795,4474
"total","relatives - not refugees","0-3 years","total","total","25-29 years",12087,11819,11627,11330
"total","relatives - not refugees","0-3 years","total","total","30-39 years",25854,25559,25619,24724
